id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough,before_pandemic
20175117,Charming One Bedroom Apt on the Upper East Side.,143610690,Monika,Upper East Side,40.77255,-73.95456999999999,Entire home/apt,125.0,1,131,2019-06-17,5.7,1,220,10075,1.0,Manhattan,1
20257840,Elegant Oasis in the Upper East Side,60293337,Melissa,Upper East Side,40.77667,-73.95335,Private room,120.0,1,89,2019-06-30,3.92,1,149,10028,1.0,Manhattan,1
20364111,Never Stop Exploring,145257512,Leo,Midtown,40.755990000000004,-73.96769,Entire home/apt,212.0,3,95,2019-07-01,4.26,1,239,10022,1.0,Manhattan,1
20405148,"Clean, Near Central Park and Subway",39469667,Anton,Midtown,40.7577,-73.9662,Private room,105.0,1,142,2019-06-23,6.6,1,38,10022,1.0,Manhattan,1
20412884,2 Bedroom + 2 Bathrooms | Excellent Location,143477365,Val,Midtown,40.75878,-73.97069,Entire home/apt,409.0,1,87,2019-06-19,3.86,1,40,10022,1.0,Manhattan,1
20424288,Quintessential Soho Loft,625403,Tobias,SoHo,40.721709999999995,-74.00395999999999,Entire home/apt,250.0,90,1,2019-02-28,0.23,1,0,10013,1.0,Manhattan,1
20433620,Time square/ Bryant park,145803893,Jonathan,Midtown,40.75205,-73.98564,Entire home/apt,170.0,2,102,2019-06-23,4.48,1,213,10018,1.0,Manhattan,1
20524177,"Big Apt/big bedroom,  71st & 1st Ave",10471351,Michael,Upper East Side,40.76834,-73.95647,Private room,85.0,30,11,2019-03-20,0.55,1,305,10021,1.0,Manhattan,1
20707376,Adorable and homey Central Park apartment,35959348,Taylor,Upper West Side,40.78965,-73.96993,Entire home/apt,95.0,1,9,2019-03-24,0.48,1,70,10024,1.0,Manhattan,1
20712652,"Beautiful NYC Room - Upper East Side, NYC",38344324,Charles,Upper East Side,40.77237,-73.95275,Private room,95.0,2,42,2019-01-01,1.9,1,0,10075,1.0,Manhattan,1
